87900000.000000,0.000060
88100000.000000,0.000065
88300000.000000,0.000106
88500000.000000,0.000625
88700000.000000,0.030173
88900000.000000,0.098922
89100000.000000,0.166198
89300000.000000,0.144166
89500000.000000,0.242316
89700000.000000,0.192103
89900000.000000,0.203134
90100000.000000,0.161806
90300000.000000,0.245397
90500000.000000,0.175856
90700000.000000,0.033182
90900000.000000,0.002054
91100000.000000,0.001017
91300000.000000,0.005987
91500000.000000,0.005067
91700000.000000,0.003447
91900000.000000,0.003325
92100000.000000,0.003687
92300000.000000,0.003669
92500000.000000,0.003040
92700000.000000,0.002725
92900000.000000,0.005496
93100000.000000,0.002433
93300000.000000,0.000709
93500000.000000,0.000122
93700000.000000,0.000268
93900000.000000,0.000808
94100000.000000,0.000947
94300000.000000,0.000594
94500000.000000,0.000567
94700000.000000,0.000551
94900000.000000,0.000527
95100000.000000,0.000424
95300000.000000,0.000520
95500000.000000,0.000294
95700000.000000,0.000225
95900000.000000,0.000194
96100000.000000,0.000399
96300000.000000,0.000966
96500000.000000,0.001387
96700000.000000,0.001470
96900000.000000,0.002164
97100000.000000,0.005005
97300000.000000,0.006302
97500000.000000,0.003174
97700000.000000,0.001663
97900000.000000,0.007668
98100000.000000,0.001605
98300000.000000,0.000647
98500000.000000,0.001064
98700000.000000,0.001136
98900000.000000,0.001145
99100000.000000,0.001280
99300000.000000,0.001232
99500000.000000,0.001358
99700000.000000,0.000891
99900000.000000,0.001095
100100000.000000,0.001696
100300000.000000,0.001413
100500000.000000,0.001148
100700000.000000,0.000411
100900000.000000,0.000111
101100000.000000,0.000059
101300000.000000,0.000032
101500000.000000,0.000034
101700000.000000,0.000053
101900000.000000,0.000038
102100000.000000,0.000040
102300000.000000,0.000036
102500000.000000,0.000038
102700000.000000,0.000046
102900000.000000,0.000048
103100000.000000,0.000048
103300000.000000,0.000035
103500000.000000,0.000056
103700000.000000,0.000040
103900000.000000,0.000067
104100000.000000,0.000046
104300000.000000,0.000099
104500000.000000,0.000040
104700000.000000,0.000051
104900000.000000,0.000085
105100000.000000,0.000170
105300000.000000,0.000117
105500000.000000,0.000718
105700000.000000,0.014886
105900000.000000,0.076470
106100000.000000,0.098926
106300000.000000,0.095620
106500000.000000,0.087888
106700000.000000,0.117842
106900000.000000,0.109458
107100000.000000,0.094610
107300000.000000,0.115155
107500000.000000,0.068250
107700000.000000,0.019122
